,company,headline,date,overall_rating,author_position,pros,cons
119,,It's an OK place to work but very low in interesting projects right now.,2016-03-26,3.0,Anonymous Employee,"Very talented colleagues.
Good work environment.
Free english classes.
Flexible arrival and departure work hours.
Free coffee.","Not very challenging projects to work for.
Low salaries.
Not good transparency from the management.
The office is just too small for the amount of workers.
It is too far sited from the main cities of the region.
No lunch bonuses."
120,,"Place is good, but can be much much better",2016-03-01,3.0,Investment Banking Analyst,"Strong deal flow,responsibility, compensation and generalist structure. Savvy senior members who are hungry.  Positive macro trend with more business shifting to boutiques if the firm can retain people once lockups expire.","A select handful of VPs and MDs at Moelis just ruin it for everyone. The firm minus those individuals (mid-level and senior especially in media, healthcare and some others which maybe I'll hint at another time) as well as some terribly pathetic associates make what could be a decent experience, horrible.  It's why the only reason (and i stress 'only' very seriously) junior folks (including associates, yes you read right) join solely so they can get a brand name on their resume and recruit right away. Many many associates and VPs are currently recruiting at funds and other banks.  And if comp ever lost its premium over other places, Moelis would lose all its top talent to other places as well as hiring power for future years."
121,,Analyst,2016-01-25,4.0,Investment Banking Analyst,"Great Learning experience, Great Pay, Great Benefits",Lifestyle and unrealistic expectations due to lack of communication
122,,"Tough hours, even for banking",2016-01-07,2.0,Investment Banking Analyst,Generalist experience exposes you to staffings on multiple industries and products. No shortage of modeling experience.,"Hours were brutal. Get caught with the wrong team and you will consistently work until 2-3 every day for weeks at a time. May be better now as they have since hired lots of additional analysts.

Lots of pitching - few of the senior bankers are any good at  using analyst / associate resources efficiently... Problem with there being many analysts now means that you are less likely to get exposure to good deals as there are not always lots to go around."
123,,Good,2015-10-27,5.0,,Good deal flow good experience good teamwork,"Small team, hard hours, no graduate hire structure"
124,,Analyst,2015-10-25,5.0,Analyst,"Great culture, Street-leading compensation, great deal flow",Long hours and less work/life balance policies than elsewhere on the Street
125,,"High pay, but you have to sell your soul for it",2015-10-19,2.0,Associate,Plenty of smart and thoughtful people with great experience. Lots of real and challenging workflow. High pay if you're willing to give up your life - literally.,"ZERO work/life balance - worse than the typically bad reputation most investment banks rightfully receive. Working all day on Saturday AND Sunday is a minimum expectation even if/when on vacation. As an example, after working two full Saturdays in a row, I made it clear to my working teams that I had a wedding the coming Saturday night and would like to work remotely should anything come up. Sure enough, something came up (something ALWAYS does) so I logged on and started working. I ended up missing the wedding - one of my oldest friends from high school - and if that wasn't enough, I was later reprimanded by HR because they claimed that since I wasn't physically in the office I showed a ""lack of engagement/commitment"" and that my absence caused ""inefficiencies in the work process"" - even though we finished the work ahead of the deadline and it was later praised by the senior bankers and client as ""outstanding work."" This place demands facetime, rewards those who work hardest (not smartest), and now that it's public is continuing to be run more and more by HR and the bureaucrats . . . something Ken Moelis pledged not to let happen when he first started the firm. Moelis is a great place to work for a year or two if you're looking to build your skill set and experience, but anything beyond that is soul crushing."
126,,Tough slog,2015-08-31,3.0,Analyst,Good firm reputation. Generalist experience.,No personal time whatsoever. Always on call. Poor project management skills from many senior and mid-level bankers.
127,,Investment Banking Analyst,2015-07-15,2.0,Investment Banking Analyst,"- Lots of responsibilities for junior bankers due to fewer mid-level layers
 - Competitive compensation (though that seems to be the bulk of the satisfaction on the job) 
 - Decent brand name on Wall Street which helps recruiting","- Poor work-life balance and culture (though looking to improve due to recent tragedies with junior bankers) which lead to low morale
 - Sr. bankers care very little about what's going on with the junior bankers
 - Lack infrastructure and resources
 - High turnover"
128,,Executive Assistant,2015-06-05,1.0,Executive Assistant,The EAs are a good team and help each other out,"EAs are treated with no respect
High turnover of EAs so constantly having to cover 
Management for EA team are unable to communicate and will not make a decision 
You are not allowed to have an opinion you will only do well of you put up and keep  your mouth shut
No job stability I have seen them on many occasions  try and manage people out just because they were not liked by the manager
Very much us and them,  bankers get treated  a lot better and been told on many occassions that they are a priority"
129,,Analyst - chicago,2015-05-05,1.0,Anonymous Employee,Moelis name brand. Good office space.,Pathetic experience (mostly pitches) and arrogant associates
130,,Worked in small teams to advise companies on M&A,2015-05-04,3.0,Anonymous Employee,"Great experience, high level of responsobility, great comp and expense policy, people are good too","Expected to work obnoxious hours even by banking standards. On call 24/7 and even vacations are waved off if you are ""needed"" in the office"
131,,Solid,2015-03-30,5.0,Investment Banking Analyst,Great learning experience and career opportunities,"Long hours, can be a difficult culture"
132,,Not good,2015-02-24,1.0,Analyst,Ok people decent money and opportunity,No life no balance no security
133,,Avoid at all costs...unless the pros are enough to entice you,2015-02-08,1.0,Manager,"- Good pay and bonus levels compared to other Investment Banks
- Good social aspect i.e xmas parties, dinners etc
- Good in-office perks i.e free coffee, tea, pizza Fridays etc","- A senior management team that lead an 'aggressive', 'self-serving' and 'blame' culture 
- There is an expectation to work very long hours
- Senior management is a 'closed' shop"
134,,Moelis is a newer name on Wall Street but everyone knows what it is given the history of its senior folks.  Great place.,2014-12-10,5.0,Investment Banking Analyst,"Meritocracy, strong compensation, great exit (and promotion) opportunities and great deal-flow!  Great place to work and its changed drastically for the better from its older days.","Hours are bad but that's an industry wide phenomenon and given its strong dealflow, hours will stay like this."
135,,Poorly structured,2014-09-14,2.0,Analyst,"Relaxed approach to work e.g. dress down Fridays 
Allowed to come in later if you have worked until the small hours","Almost non existent training and development prospects. 
High turnover of people 
'us and them' office culture 
work/life balance is poor
London offices in dire need of a reorganisation! There is no natural light on the first floor! As an Analyst working long hours this was terrible."
136,,Zero Work-life Balance,2014-04-01,1.0,Analyst,Great pay and a promising career path if you fit in their mold.,"Even by banking standards, hours were very long for both bankers and back office.  Average benefits.  Lack of foresight by senior managers resulted in many fire drills."
137,,Tough hours but upsides worthwhile,2013-11-04,4.0,Analyst,"Exit ops, close knit culture",Hours and lack of senior mentorship
138,,Good experience,2013-08-23,4.0,Anonymous Employee,Very focused and intelligent people who are very proud of the Company,"Hours can sometimes be long, but this is expected in this type of business"
139,,Should have went elsewhere,2013-07-08,2.0,Analyst,Decent training if plan on going into pe,over-hyped exit ops and not what I was expecting
