,company,headline,date,overall_rating,author_position,pros,cons
266,,Ok place to get by,2021-07-19,3.0,Relationship Manager,good place for progression if you do well,immediate bosses were more occupied with sales figures than welfare of employees
267,,Okay pay for mentally draining work,2021-07-18,2.0,Personal Banker,Good pay. good benefits. 401k. tuition reimbursement. mental health services. Good chances of moving up .,awful management. pushy sales practices. Area directors and Managers make you plan out your entire day to the hour in order to meet calling quotas.
268,,Working at Citibank,2021-07-18,5.0,Manager,"a multinational company
good pay
good benefit","long working hour in my department and since my title had no overtime, so I felt overwhelmed. working hour 08.00 -17.00 but I left office usually at 21.00 sometimes at 23.00 or even 02,30 in the next morning."
269,,Work life balance but Low pay,2021-07-17,3.0,Assistant Relationship Manager,If you looking for long time work life balance and not looking for career progression (promotion). This is the place.,Low pay and slow career progression. Very little bonus
270,,Good,2021-07-17,5.0,Assistant Vice President,All good as I see right now,None that I know as of now
271,,Citi Culture is the Best,2021-07-16,4.0,Anonymous Employee,Employee Diversity and Good Work From Home Set-up,"Long Working Hours
Too Many Projects"
272,,Good to learn work,2021-07-15,4.0,Software Developer,"You may get good quality of work to work. Kind of job security, initially a good package. Will get a tag of banking domain","Workload like hell. 
Year end hike are not good. 
No cultural, social activities. Everything is so professional. At some cases managers are so strict, do micro management, but not all. Thus depends on your manager."
273,,Terrible company,2021-07-15,1.0,Anonymous Employee,I can't say anything good about this company,"Training is terrible. Benefits are terrible. Management it terrible. Racism, harassment."
274,,Excellent,2021-07-15,5.0,Senior Angular Developer,Looking forward to good opportunity,I Have no Issue .
275,,Good company to start your career with!,2021-07-15,4.0,Wealth Manager,"Salary is always on time
Great learning curve
Under a good manager, one can learn a lot","No work life balance in sales
The senior management is too far away from ground reality"
276,,Nice place to work,2021-07-14,4.0,Anonymous Employee,"Good salary
Work life balance
Life insurance
LTA","Management is poor
Senior are not helpful"
277,,High pressure and challenging work,2021-07-14,3.0,Senior Vice President,- High pressure and challenging work environment (if you like that kind of thing),"- Tech infra is quite dated especially for developers
- Lots of red tape espcially when trying to do anything new"
278,,Must be adaptable,2021-07-13,4.0,Anonymous Employee,There’s also something challenging at work,Constant regulatory criticism of processes and controls at the bank
279,,Not a bad company,2021-07-13,4.0,N/A,"Good benefits, pay and flexible work schedules","Sometimes long hours, strict adherence"
280,,Review,2021-07-12,3.0,AVP-Project Manager,Open with various of oversea opportunities,Intense working environment and loony working hours.
281,,Very good company,2021-07-12,4.0,Software Quality Assurance Engineer and Testers,"good culture, and positive work environment",lots of management and very busy
282,,Great to work,2021-07-12,5.0,Senior Software Engineer,Many leaves and management is good,Good amount of work which will keep busy all the day
283,,"Easy banker job but very stagnant, no room for growth",2021-07-11,3.0,Personal Banker I,Easy job good culture not stressful,Bonus pay structure keeps changing. Only get it twice a year instead of every quarter. Takes a lot to get anything. Another con not a lot of position above a banker available so promotions are very limited.
284,,Nice,2021-07-11,5.0,Anonymous Employee,Very good Company to start career in Banking,Getting internal transfer is little difficult for Non European Employees
285,,Best organization,2021-07-09,5.0,Affluent Manager,Highly qualified people works for citibank,Keeping up with management expectations
286,,Esop,2021-07-09,5.0,Vice President,Good organization and employee friendly,Nothing that i can think of at the moment
287,,NA,2021-07-07,5.0,Programmer Analyst,Great benefits cafe and onsite gym,Low pay for all the work
288,,Pathetic,2021-07-06,1.0,Client Accquisition/Servicing,Only timely salary is a good thing,"Worst culture, very biased and unreasonable pressure"
289,,Not good,2021-07-04,3.0,Assistant Manager,Salary is decent enough for india,Bad work culture and no flexibility
290,,BA,2021-07-02,3.0,Financial Advisor,"You get to improve skills, friendly colleague","Tired, long working hours, low salary"
291,,Good place for retirement,2021-06-30,3.0,Infrastructure Analyst,"Good place for retirees but not for Entry Level. 
Average starting salary.","Low level Experience for fresh graduates. 
Most of the work has already processes."
292,,Citi,2021-06-29,4.0,Head Concierge,The pay is very good. Management is great the branch I am in,The system issues and not a lot of opportunities for growth
293,,Good culture,2021-06-29,3.0,Anonymous Employee,Good salary package and career development opportunity,Challenging culture and bad management
294,,Good Place,2021-06-29,4.0,Administrative Assistant,"Nice people, good culture, fun",Not too much bad here
295,,good,2021-06-29,3.0,Data Analyst,relatively good work life balance,could do better with bonus and salary increments
296,,"Decent benefits, petty drama",2021-06-29,4.0,Personal Banker,"Workout space, commission, long training","Petty managers, some trainers incompetent/no people skills"
