,company,headline,date,overall_rating,author_position,pros,cons
0,Hudson Securities,out of business,2014-11-07,1.0,,"the company in no longer in business, they failed as a company due to management.","the company in no longer in business, they failed as a company due to management."
1,Hudson Securities,not good,2013-09-01,1.0,Equity Trader,One of the few remaining otc market makers.,The worst group of people to work with. They only cared about themselves.
